,pred_Wake,pred_N1,pred_N2,pred_N3,pred_REM
true_Wake,0.7022222222222222,0.12,0.017037037037037038,0.10814814814814815,0.052592592592592594
true_N1,0.12445095168374817,0.4055636896046852,0.16251830161054173,0.004392386530014641,0.30307467057101023
true_N2,0.01293103448275862,0.03259698275862069,0.8744612068965517,0.03502155172413793,0.044989224137931036
true_N3,0.20226843100189035,0.0,0.09168241965973535,0.7060491493383743,0.0
true_REM,0.04084720121028744,0.14674735249621784,0.03328290468986384,0.0,0.7791225416036308
