stage,precision,recall,f1,support
Wake,0.7027427724240178,0.7022222222222222,0.7024824008892182,1350
N1,0.3673740053050398,0.4055636896046852,0.38552540013917885,683
N2,0.9218971882987788,0.8744612068965517,0.8975528826213189,3712
N3,0.7280701754385965,0.7060491493383743,0.716890595009597,1058
REM,0.6983050847457627,0.7791225416036308,0.736503396496246,1322
