,Wake,N1,N2,N3,REM
Wake,0.9049740163325909,0.08240534521158129,0.0022271714922048997,0.0014847809948032665,0.008908685968819599
N1,0.059593023255813955,0.6380813953488372,0.25,0.0029069767441860465,0.04941860465116279
N2,0.012106537530266344,0.023944040893193436,0.9015334947538337,0.04869518428840463,0.013720742534301856
N3,0.007525870178739417,0.007525870178739417,0.15804327375352775,0.8250235183443085,0.0018814675446848542
REM,0.02562170308967596,0.03089675960813866,0.01733232856066315,0.0007535795026375283,0.9253956292388847
