test_subject,base_macro_f1,base_N1_f1,augmented_macro_f1,augmented_N1_f1,macro_f1_delta,N1_f1_delta
SC400,0.6311302664429665,0.2358974358974359,0.647256581549032,0.27884615384615385,0.016126315106065436,0.04294871794871796
SC401,0.6557231260657683,0.4263322884012539,0.6694290700461363,0.4625,0.013705943980367952,0.0361677115987461
SC402,0.7840323583126296,0.6027397260273972,0.7800018589902715,0.6511627906976745,-0.004030499322358105,0.04842306467027724
SC403,0.6030706425073398,0.22,0.5960391981546069,0.22151898734177214,-0.007031444352732841,0.0015189873417721378
SC404,0.7336198414053332,0.47191011235955055,0.6786355117952205,0.30324909747292417,-0.05498432961011268,-0.16866101488662638
SC405,0.733553835833787,0.125,0.7269214925010266,0.12244897959183673,-0.006632343332760415,-0.002551020408163268
