stage,baseline_f1,calibrated_f1,delta_f1
Wake,0.6789250353606789,0.6804270462633452,0.0015020109026662176
N1,0.35901271503365745,0.3878787878787879,0.02886607284513043
N2,0.8922818321893823,0.892009549220615,-0.00027228296876724567
N3,0.7087286527514232,0.7080568720379147,-0.0006717807135084852
REM,0.704721634954193,0.6828193832599119,-0.021902251694281172
