rank,test_subject,smoothed_macro_f1,smoothed_balanced_accuracy,smoothed_accuracy
1,SC402,0.7972980433559367,0.797766064709685,0.8455522971652004
2,SC405,0.7126867728251683,0.7416605237000956,0.8537313432835821
3,SC404,0.6845413119249506,0.6949962854900195,0.732360097323601
4,SC401,0.6265010591158822,0.6686138528486132,0.762363238512035
5,SC403,0.6254258777699873,0.6258982161258385,0.7242105263157895
6,SC400,0.6113687898955565,0.6239286965357252,0.6934826883910387
