test_subject,accuracy,balanced_accuracy,macro_f1
SC400,0.7820773930753564,0.7105272452767452,0.708807929906585
SC401,0.8297592997811816,0.7577817322136557,0.7579342741528031
SC402,0.8426197458455523,0.820086041004144,0.8010835819884157
SC403,0.7936842105263158,0.7632328127099774,0.6963880100383577
SC404,0.7445255474452555,0.7273098612013928,0.6413383077608465
SC405,0.7970149253731343,0.7367143205480746,0.7073741879841957
