test_subject,baseline_macro_f1,baseline_N1_f1,best_macro_f1,best_N1_f1,macro_f1_delta,N1_f1_delta
SC400,0.6113687898955565,0.21390374331550802,0.6216141514141327,0.271356783919598,0.010245361518576135,0.05745304060408998
SC401,0.6265010591158822,0.358974358974359,0.6228883244991287,0.3487544483985765,-0.003612734616753488,-0.010219910575782476
SC402,0.7972980433559367,0.7156862745098039,0.7876210968292515,0.6605504587155964,-0.00967694652668516,-0.055135815794207566
SC403,0.6254258777699873,0.2074074074074074,0.6011956106421894,0.22591362126245848,-0.024230267127797855,0.01850621385505108
SC404,0.6845413119249506,0.3865546218487395,0.6966960620221684,0.41450777202072536,0.012154750097217781,0.027953150171985852
SC405,0.7126867728251683,0.043478260869565216,0.7320763586708678,0.1509433962264151,0.019389585845699497,0.10746513535684987
