strategy,mean_subject_macro_f1,std_subject_macro_f1,min_subject_macro_f1,max_subject_macro_f1,mean_balanced_accuracy,pooled_accuracy,pooled_balanced_accuracy,pooled_macro_f1,Wake_f1,N1_f1,N2_f1,N3_f1,REM_f1,delta_mean_subject_macro_f1,delta_pooled_macro_f1,delta_N1_f1,rank
n1_preserving_viterbi,0.6901883450946373,0.06434122778400027,0.6030706425073398,0.7840323583126296,0.7061688153928793,0.7689846153846154,0.6934837619330929,0.6877909350311118,0.7024824008892182,0.38552540013917885,0.8975528826213189,0.716890595009597,0.736503396496246,0.01397733597437012,0.018798686365116835,0.029706274861195148,1
standard_viterbi,0.6774934546656227,0.07009272864017417,0.6118841837388944,0.8022235902537211,0.6939152155994953,0.7666461538461539,0.6735304175783471,0.6680559332455261,0.7041441441441442,0.3052003410059676,0.9006731693914,0.7175792507204611,0.712682760965658,0.001282445545355504,-0.0009363154204687918,-0.050618784272016104,2
baseline_argmax,0.6762110091202672,0.06009275098799718,0.6168009488453033,0.7900251957762384,0.6950954929526386,0.7545846153846154,0.6778998238656819,0.6689922486659949,0.6755524377411435,0.3558191252779837,0.8951817413355875,0.723062381852552,0.6953455571227081,0.0,0.0,0.0,3
