test_subject,selected_threshold,training_time_sec,inner_selection_time_sec,baseline_macro_f1,calibrated_macro_f1,macro_f1_delta,baseline_accuracy,calibrated_accuracy,baseline_balanced_accuracy,calibrated_balanced_accuracy,baseline_Wake_f1,calibrated_Wake_f1,delta_Wake_f1,baseline_N1_f1,calibrated_N1_f1,delta_N1_f1,baseline_N2_f1,calibrated_N2_f1,delta_N2_f1,baseline_N3_f1,calibrated_N3_f1,delta_N3_f1,baseline_REM_f1,calibrated_REM_f1,delta_REM_f1
SC400,0.375,3.43328090000432,13.455910899996525,0.6113687898955565,0.6104834424273955,-0.0008853474681610463,0.6934826883910387,0.6970468431771895,0.6239286965357252,0.6244664635184354,0.5893223819301848,0.5934959349593496,0.004173553029164778,0.21390374331550802,0.19101123595505617,-0.02289250736045184,0.8475452196382429,0.846815834767642,-0.0007293848706009243,0.6603098927294399,0.6603098927294399,0.0,0.7457627118644068,0.7607843137254902,0.015021601861083367
SC401,0.275,3.774394999985816,15.319656100007705,0.6265010591158822,0.6441749313605525,0.01767387224467032,0.762363238512035,0.7667396061269146,0.6686138528486132,0.6830293569303844,0.5081967213114754,0.5093945720250522,0.001197850713576809,0.358974358974359,0.4364820846905538,0.0775077257161948,0.909245122985581,0.9082412914188616,-0.0010038315667194597,0.6416382252559727,0.6416382252559727,0.0,0.7144508670520231,0.7251184834123223,0.010667616360299226
SC402,0.325,2.4527558000118006,13.808717600011732,0.7972980433559367,0.7859630330676634,-0.011335010288273328,0.8455522971652004,0.8347996089931574,0.797766064709685,0.7949551877431836,0.7441860465116279,0.7547169811320755,0.01053093462044763,0.7156862745098039,0.70995670995671,-0.005729564553093924,0.9067405355493998,0.9079069767441861,0.0011664411947862607,0.8021978021978022,0.7978142076502732,-0.004383594547529013,0.8176795580110497,0.7594202898550725,-0.05825926815597726
SC403,0.35,4.105114399979357,17.5638595999917,0.6254258777699873,0.5676221255427556,-0.057803752227231664,0.7242105263157895,0.6768421052631579,0.6258982161258385,0.5964830983658943,0.757201646090535,0.7341772151898734,-0.02302443090066153,0.2074074074074074,0.20606060606060606,-0.0013468013468013462,0.9282103134479271,0.9276248725790011,-0.0005854408689260904,0.7706422018348624,0.7636363636363637,-0.0070058381984987594,0.46366782006920415,0.2066115702479339,-0.2570562498212703
SC404,0.35,3.95932389999507,17.213993399986066,0.6845413119249506,0.6925647093417411,0.008023397416790479,0.732360097323601,0.7356042173560422,0.6949962854900195,0.7017201049804814,0.7430997876857749,0.7505422993492408,0.007442511663465878,0.3865546218487395,0.44274809160305345,0.05619346975431394,0.872791519434629,0.8737864077669902,0.0009948883323612767,0.8041237113402062,0.8041237113402062,0.0,0.6161369193154034,0.5916230366492147,-0.024513882666188702
SC405,0.375,4.253477099991869,18.66155560000334,0.7126867728251683,0.7126867728251683,0.0,0.8537313432835821,0.8537313432835821,0.7416605237000956,0.7416605237000956,0.9244851258581236,0.9244851258581236,0.0,0.043478260869565216,0.043478260869565216,0.0,0.8509615384615384,0.8509615384615384,0.0,0.8677966101694915,0.8677966101694915,0.0,0.8767123287671232,0.8767123287671232,0.0
