subject,Wake,N1,N2,N3,REM
SC400,0.5893223819301848,0.21390374331550802,0.8475452196382429,0.6603098927294399,0.7457627118644068
SC401,0.5081967213114754,0.358974358974359,0.909245122985581,0.6416382252559727,0.7144508670520231
SC402,0.7441860465116279,0.7156862745098039,0.9067405355493998,0.8021978021978022,0.8176795580110497
SC403,0.757201646090535,0.2074074074074074,0.9282103134479271,0.7706422018348624,0.46366782006920415
SC404,0.7430997876857749,0.3865546218487395,0.872791519434629,0.8041237113402062,0.6161369193154034
SC405,0.9244851258581236,0.043478260869565216,0.8509615384615384,0.8677966101694915,0.8767123287671232
