,pred_Wake,pred_N1,pred_N2,pred_N3,pred_REM
true_Wake,0.7111111111111111,0.0874074074074074,0.018518518518518517,0.11037037037037037,0.0725925925925926
true_N1,0.19765739385065886,0.3513909224011713,0.12445095168374817,0.004392386530014641,0.32210834553440704
true_N2,0.01939655172413793,0.028556034482758622,0.8580280172413793,0.04067887931034483,0.05334051724137931
true_N3,0.21361058601134217,0.0,0.08034026465028356,0.7060491493383743,0.0
true_REM,0.06429652042360061,0.1437216338880484,0.03555219364599092,0.0,0.75642965204236
