test_subject,training_epoch_count,test_epoch_count,feature_count,tree_count,training_time_sec,inference_time_sec,raw_accuracy,raw_balanced_accuracy,raw_macro_f1,smoothed_accuracy,smoothed_balanced_accuracy,smoothed_macro_f1,smoothing_macro_f1_delta,smoothing_changed_epochs,smoothing_changed_percent
SC400,6161,1964,45,150,2.174243600005866,0.023906499998702202,0.6980651731160896,0.6288516399492895,0.6168009488453033,0.6934826883910387,0.6239286965357252,0.6113687898955565,-0.0054321589497468015,81,4.124236252545825
SC401,5840,2285,45,150,2.135662799999409,0.04511829999682959,0.7676148796498906,0.6740170532256836,0.6343394295069137,0.762363238512035,0.6686138528486132,0.6265010591158822,-0.007838370391031524,74,3.238512035010941
SC402,7102,1023,45,150,4.166770299998461,0.028476399995270185,0.8387096774193549,0.8026559361291234,0.7900251957762384,0.8455522971652004,0.797766064709685,0.7972980433559367,0.007272847579698261,51,4.9853372434017595
SC403,7175,950,45,150,4.170284300002095,0.02823060000082478,0.7252631578947368,0.6517286190095831,0.634521848659193,0.7242105263157895,0.6258982161258385,0.6254258777699873,-0.009095970889205773,70,7.368421052631578
SC404,6892,1233,45,150,3.9972945999979856,0.03473179999855347,0.7210056772100568,0.6734071353888803,0.6656165266747949,0.732360097323601,0.6949962854900195,0.6845413119249506,0.01892478525015573,76,6.163828061638281
SC405,7455,670,45,150,4.405230600001232,0.023070499999448657,0.8507462686567164,0.7399125740132723,0.71596210525916,0.8537313432835821,0.7416605237000956,0.7126867728251683,-0.0032753324339916956,17,2.5373134328358207
