subject,N1,N2,N3,REM,Wake
SC400,0.18556701030927836,0.8603448275862069,0.6642599277978339,0.7509778357235984,0.5860655737704918
SC401,0.34944237918215615,0.9146959459459459,0.6585365853658537,0.7142857142857143,0.5295315682281059
SC402,0.711340206185567,0.9077069457659372,0.819047619047619,0.8166666666666667,0.8051948051948052
SC403,0.24535315985130113,0.9309989701338826,0.8103448275862069,0.46735395189003437,0.7430830039525692
SC404,0.37317784256559766,0.875219683655536,0.7741935483870968,0.6198547215496368,0.7390396659707724
SC405,0.08163265306122448,0.8605769230769231,0.8775510204081632,0.8333333333333334,0.9244851258581236
