comparison_stage,best_feature,best_feature_auc,best_feature_abs_d,best_feature_overlap,mean_top10_auc,mean_top10_abs_d,mean_top10_overlap,mean_top10_score
N2,current_beta,0.9166385305700003,1.9930660885435783,0.3047013050941586,0.807212293949109,1.3086997755391658,0.5007705214696825,0.6033631559860473
Wake,current_rms,0.8482641939157313,1.1986446932905157,0.43828208882381653,0.809173634835421,1.0747866911807364,0.5190741283010682,0.566576812852318
REM,prev1_sigma_theta_ratio,0.7801968267609969,0.9527967124749313,0.5894713409515286,0.7039101764707185,0.7175932175554053,0.685791858912026,0.3743907873216241
