test_subject,selected_top_k,selected_transition_weight,selected_n1_emission_boost,feature_count,training_time_sec,inner_selection_time_sec,accuracy,balanced_accuracy,macro_f1,Wake_precision,Wake_recall,Wake_f1,N1_precision,N1_recall,N1_f1,N2_precision,N2_recall,N2_f1,N3_precision,N3_recall,N3_f1,REM_precision,REM_recall,REM_f1
SC400,10,0.25,1.2,55,2.2857226000051014,67.00167510000756,0.7072301425661914,0.6398566463259007,0.6276720161650282,0.48639455782312924,0.779291553133515,0.5989528795811518,0.2840909090909091,0.21367521367521367,0.24390243902439024,0.9010416666666666,0.8330658105939005,0.8657214345287739,0.8966666666666666,0.5203094777562862,0.6585067319461444,0.7038834951456311,0.8529411764705882,0.7712765957446809
SC401,10,0.5,1.75,55,2.292121800011955,65.37453229998937,0.7820568927789935,0.6902428233996196,0.6556053692936674,0.8322981366459627,0.4253968253968254,0.5630252100840336,0.5742574257425742,0.2885572139303483,0.3841059602649007,0.9397590361445783,0.8936170212765957,0.9161073825503355,0.5282485875706214,0.9303482587064676,0.6738738738738739,0.6232741617357002,0.9132947976878613,0.7409144196951934
SC402,0,0.75,1.75,45,2.4763414999761153,81.45080950000556,0.8435972629521017,0.7815180448147488,0.7840323583126296,0.9642857142857143,0.6428571428571429,0.7714285714285715,0.528,0.7021276595744681,0.6027397260273972,0.9114391143911439,0.9064220183486239,0.9089236430542779,0.8271604938271605,0.7052631578947368,0.7613636363636364,0.8115183246073299,0.950920245398773,0.8757062146892656
SC403,5,0.5,1.2,50,2.840644899988547,82.04557410001871,0.7126315789473684,0.6397140198092193,0.6109079616911467,0.9611650485436893,0.717391304347826,0.8215767634854771,0.15040650406504066,0.6065573770491803,0.24104234527687296,0.9089108910891089,0.9463917525773196,0.9272727272727272,0.75,0.7368421052631579,0.7433628318584071,1.0,0.19138755980861244,0.321285140562249
SC404,5,0.75,1.35,50,2.6823289999738336,77.28476560002309,0.7631792376317924,0.7026547148858252,0.7058898854868596,0.7161572052401747,0.8282828282828283,0.7681498829039812,0.4322916666666667,0.5,0.46368715083798884,0.9229357798165138,0.8112903225806452,0.863519313304721,0.90625,0.5471698113207547,0.6823529411764706,0.6893617021276596,0.826530612244898,0.7517401392111369
SC405,10,0.25,1.1,55,3.0271877000050154,85.61860819999129,0.8611940298507462,0.7591597227932226,0.7402588390769275,0.8938053097345132,0.9805825242718447,0.9351851851851852,0.8,0.09090909090909091,0.16326530612244897,0.89,0.8202764976958525,0.8537170263788969,0.8050314465408805,0.9481481481481482,0.8707482993197279,0.8125,0.9558823529411765,0.8783783783783784
