subject,weakest_stage,weakest_stage_f1,weakest_stage_precision,weakest_stage_recall,weakest_stage_support
SC400,N1,0.21390374331550802,0.2857142857142857,0.17094017094017094,117
SC401,N1,0.358974358974359,0.6805555555555556,0.24378109452736318,201
SC402,N1,0.7156862745098039,0.6636363636363637,0.776595744680851,94
SC403,N1,0.2074074074074074,0.1339712918660287,0.45901639344262296,61
SC404,N1,0.3865546218487395,0.3612565445026178,0.41566265060240964,166
SC405,N1,0.043478260869565216,0.5,0.022727272727272728,44
