comparison_stage,mean_loso_auc,std_loso_auc,min_loso_auc,max_loso_auc,mean_accuracy
N2,0.9679953550910652,0.013931696688560705,0.9433492032646715,0.9835043988269795,0.921056602115628
Wake,0.8700555972560053,0.054058692276874466,0.7682590467784642,0.9208639342967702,0.805973363083066
REM,0.861417566063898,0.07177156272360517,0.7593640020110608,0.9788539355175564,0.7386388852410445
