outer_test_subject,transition_weight,mean_macro_f1,mean_balanced_accuracy,mean_n1_f1,mean_min_class_f1,std_macro_f1,selected
SC400,0.5,0.6711395874252013,0.6908155787571725,0.28526180584951566,0.28526180584951566,0.08978765633677376,True
SC400,0.25,0.6658946092504988,0.686682948539844,0.28581848299733587,0.28581848299733587,0.08203857855956062,False
SC400,1.0,0.6600347460960264,0.676180605058154,0.23981231769521782,0.23981231769521782,0.08314640565973473,False
SC400,0.75,0.6579478935764155,0.6758793975767328,0.25408403301872884,0.25408403301872884,0.08903251756771394,False
SC400,1.5,0.653705417856046,0.6696402452795255,0.21462056978806804,0.21462056978806804,0.08725279188271687,False
SC400,1.25,0.6527072704957586,0.6703621256321733,0.2121977587411151,0.2121977587411151,0.08566991946117636,False
SC400,2.0,0.6503454858311046,0.6626954566639857,0.19587261574875936,0.19587261574875936,0.08543962732538843,False
SC401,0.25,0.6920830612931722,0.7031016439218596,0.2072879035269482,0.2072879035269482,0.01846500389227431,True
SC401,0.5,0.6865767386555699,0.7009871881333939,0.16447738842187143,0.16447738842187143,0.02631425207205516,False
SC401,1.5,0.6752715419335338,0.6891354845628644,0.12781510234694687,0.12781510234694687,0.061635895290318925,False
SC401,0.75,0.6736783559565074,0.6878854702357303,0.13850703175793194,0.13850703175793194,0.031551976554810006,False
SC401,2.0,0.6725410835682262,0.6872941238182803,0.11129125045898616,0.11129125045898616,0.06142199357043532,False
SC401,1.0,0.6724836570604635,0.6862569958865159,0.1451137547955162,0.1451137547955162,0.04748742865747987,False
SC401,1.25,0.6716796942027685,0.6875967004350306,0.11897270980019928,0.11897270980019928,0.0583315761763227,False
SC402,0.75,0.638377448092858,0.6650978368004725,0.1460074470680889,0.1460074470680889,0.05441064290607691,True
SC402,0.5,0.6383721782606311,0.6660184848324441,0.1478257204383557,0.1478257204383557,0.05353878391540313,False
SC402,0.25,0.6355559226118196,0.6627333180761219,0.171287719880928,0.171287719880928,0.06349930017450534,False
SC402,1.5,0.6244244200384895,0.6513595368514201,0.09170273952734681,0.09170273952734681,0.05324736654650883,False
SC402,2.0,0.622665570737672,0.6424232610596358,0.08000563281977943,0.08000563281977943,0.06508577003637403,False
SC402,1.0,0.6195404123012904,0.6475384393681857,0.11477493933485876,0.11477493933485876,0.050249575391811165,False
SC402,1.25,0.6159597062528417,0.645970949044739,0.09729279913360804,0.09729279913360804,0.052565514840060876,False
SC403,0.5,0.6869969274171168,0.7117097186660638,0.31808907609679754,0.31808907609679754,0.07237841532635192,True
SC403,0.25,0.6834274046433523,0.7066508384860616,0.33406120760959473,0.33406120760959473,0.05500686070335341,False
SC403,0.75,0.6834014597086208,0.7042436790466058,0.30791938739208385,0.307801055061855,0.06622777933666979,False
SC403,1.0,0.6716502447475892,0.6914192169914158,0.291047208474755,0.291047208474755,0.06840678684946902,False
SC403,1.25,0.6637068384211702,0.683812905019247,0.2713904858750177,0.2713904858750177,0.0716567335854563,False
SC403,1.5,0.6602258377237066,0.6799941841476074,0.251534555928253,0.251534555928253,0.0749756125978396,False
SC403,2.0,0.6564018689828484,0.6758534636956035,0.24146800372986896,0.24146800372986896,0.08180376091080999,False
SC404,0.25,0.6695551598274209,0.6990060709943655,0.2969154170722572,0.2704297458807037,0.08586739534065443,True
SC404,0.5,0.6631394985547396,0.6932934760853737,0.27100073291487903,0.23062530464677117,0.10615428619161918,False
SC404,0.75,0.6608360015917805,0.6914376626900038,0.26044805936611753,0.2147627801783003,0.10588360713560414,False
SC404,1.0,0.6606791670459871,0.6864634422560355,0.2591313000500094,0.21789418664794757,0.10606723675989174,False
SC404,1.25,0.654769355226527,0.6810836910285297,0.24529817569047369,0.20335444167512845,0.10888325399121564,False
SC404,1.5,0.647156549848027,0.6740390474119298,0.14962659846547313,0.14962659846547313,0.06097392721293816,False
SC404,2.0,0.6444329652014839,0.6687864919501296,0.1262155503308917,0.1262155503308917,0.0691542277414097,False
SC405,0.25,0.6504197647070519,0.6737250347890005,0.351820635504846,0.351820635504846,0.09911028068756249,True
SC405,0.5,0.6384109949824913,0.6631653059628813,0.31396407449975133,0.31396407449975133,0.10162940336323278,False
SC405,0.75,0.6309858911091193,0.6574156587445866,0.2952670662841985,0.2952670662841985,0.09955348911984718,False
SC405,1.0,0.6247990427810156,0.6468087109529262,0.2731158889130656,0.2731158889130656,0.09483947432817642,False
SC405,1.5,0.6234399505578612,0.6409813461285758,0.23479009406346033,0.23479009406346033,0.09676327081702281,False
SC405,2.0,0.6218059836088152,0.6394917908256905,0.20147326931939213,0.20147326931939213,0.11246464645737785,False
SC405,1.25,0.6211943681329924,0.6426741430280214,0.23995419829981385,0.23995419829981385,0.0953957960954007,False
