configuration,test_subject,feature_count,selected_transition_weight,selected_n1_emission_boost,training_time_sec,inner_selection_time_sec,accuracy,balanced_accuracy,macro_f1,Wake_f1,N1_f1,N2_f1,N3_f1,REM_f1
stage40_base_features,SC400,45,0.5,1.1,3.3324124999926426,18.60922750001191,0.714867617107943,0.6427659583275283,0.6311302664429665,0.6056034482758621,0.2358974358974359,0.8694929343308395,0.6770334928229665,0.7676240208877284
stage40_base_features,SC401,45,0.25,1.75,3.4244290000060573,15.846745000017108,0.7794310722100657,0.69239323619872,0.6557231260657683,0.5324675324675324,0.4263322884012539,0.9169827222924568,0.6631393298059964,0.7396937573616019
stage40_base_features,SC402,45,0.75,1.75,4.2514914000057615,24.817285800003447,0.8435972629521017,0.7815180448147488,0.7840323583126296,0.7714285714285715,0.6027397260273972,0.9089236430542779,0.7613636363636364,0.8757062146892656
stage40_base_features,SC403,45,0.75,1.2,4.239259900001343,25.260879200010095,0.7094736842105264,0.6192895934616973,0.6030706425073398,0.8083333333333333,0.22,0.9250749250749251,0.7339449541284404,0.328
stage40_base_features,SC404,45,0.75,1.35,2.3352154000021983,22.7112978999794,0.7696674776966748,0.7475296498050518,0.7336198414053332,0.7699530516431925,0.47191011235955055,0.8660869565217392,0.8118811881188119,0.7482678983833718
stage40_base_features,SC405,45,0.25,1.2,4.321094799990533,22.40552440000465,0.8611940298507462,0.7535164097495299,0.733553835833787,0.9330254041570438,0.125,0.8591885441527446,0.8677966101694915,0.8827586206896552
stage41_augmented_features,SC400,105,0.5,1.2,3.1708113999920897,20.852905100007774,0.7240325865580448,0.6565975142189597,0.647256581549032,0.6187363834422658,0.27884615384615385,0.8706467661691543,0.6996466431095406,0.7684069611780455
stage41_augmented_features,SC401,105,0.25,1.75,3.2158485999971163,15.439529299997957,0.7868708971553611,0.7021572594804577,0.6694290700461363,0.5524625267665952,0.4625,0.9184873949579831,0.6631016042780749,0.7505938242280285
stage41_augmented_features,SC402,105,0.25,1.75,5.11512090000906,18.9952163999842,0.8357771260997068,0.7953981110406686,0.7800018589902715,0.6938775510204082,0.6511627906976745,0.906046511627907,0.783068783068783,0.8658536585365854
stage41_augmented_features,SC403,105,0.75,1.35,6.977001600025687,33.02711929997895,0.7010526315789474,0.618479464504102,0.5960391981546069,0.7792207792207793,0.22151898734177214,0.928643216080402,0.75,0.3008130081300813
stage41_augmented_features,SC404,105,0.5,1.0,3.8669187999912538,32.64746190002188,0.7469586374695864,0.6923891304870958,0.6786355117952205,0.7186147186147186,0.30324909747292417,0.8883205456095482,0.8163265306122449,0.6666666666666666
stage41_augmented_features,SC405,105,0.25,1.1,7.143569799984107,36.39726739999605,0.8552238805970149,0.7518492912892427,0.7269214925010266,0.9330254041570438,0.12244897959183673,0.847457627118644,0.8707482993197279,0.8609271523178808
