metric,mean,std,median,min,max
raw_accuracy,0.7669008056578076,0.05882953689081903,0.7464390187723138,0.6980651731160896,0.8507462686567164
raw_balanced_accuracy,0.6950954929526386,0.05882380326389385,0.673712094307282,0.6288516399492895,0.8026559361291234
raw_macro_f1,0.6762110091202672,0.06009275098799718,0.650069187666994,0.6168009488453033,0.7900251957762384
smoothed_accuracy,0.7686166984985411,0.06073750021252788,0.747361667917818,0.6934826883910387,0.8537313432835821
smoothed_balanced_accuracy,0.6921439399016628,0.06219799238207647,0.6818050691693163,0.6239286965357252,0.797766064709685
smoothed_macro_f1,0.6763036424812469,0.0649571855746991,0.6555211855204164,0.6113687898955565,0.7972980433559367
