architecture,test_subject,test_epoch_count,architecture_time_sec,raw_accuracy,raw_balanced_accuracy,raw_macro_f1,smoothed_accuracy,smoothed_balanced_accuracy,smoothed_macro_f1,Wake_precision,Wake_recall,Wake_f1,N1_precision,N1_recall,N1_f1,N2_precision,N2_recall,N2_f1,N3_precision,N3_recall,N3_f1,REM_precision,REM_recall,REM_f1
baseline_5class,SC400,1964,2.3496446999997715,0.6980651731160896,0.6288516399492895,0.6168009488453033,0.6934826883910387,0.6239286965357252,0.6113687898955565,0.4728171334431631,0.782016348773842,0.5893223819301848,0.2857142857142857,0.17094017094017094,0.21390374331550802,0.9144981412639405,0.7897271268057785,0.8475452196382429,0.860248447204969,0.5357833655705996,0.6603098927294399,0.6697892271662763,0.8411764705882353,0.7457627118644068
baseline_5class,SC401,2285,3.481255799997598,0.7676148796498906,0.6740170532256836,0.6343394295069137,0.762363238512035,0.6686138528486132,0.6265010591158822,0.7167630057803468,0.39365079365079364,0.5081967213114754,0.6805555555555556,0.24378109452736318,0.358974358974359,0.9436619718309859,0.8772504091653028,0.909245122985581,0.4883116883116883,0.9353233830845771,0.6416382252559727,0.5953757225433526,0.8930635838150289,0.7144508670520231
baseline_5class,SC402,1023,4.303986499995517,0.8387096774193549,0.8026559361291234,0.7900251957762384,0.8455522971652004,0.797766064709685,0.7972980433559367,0.898876404494382,0.6349206349206349,0.7441860465116279,0.6636363636363637,0.776595744680851,0.7156862745098039,0.912639405204461,0.9009174311926605,0.9067405355493998,0.8390804597701149,0.7684210526315789,0.8021978021978022,0.7437185929648241,0.9079754601226994,0.8176795580110497
baseline_5class,SC403,950,4.191867400004412,0.7252631578947368,0.6517286190095831,0.634521848659193,0.7242105263157895,0.6258982161258385,0.6254258777699873,0.8761904761904762,0.6666666666666666,0.757201646090535,0.1339712918660287,0.45901639344262296,0.2074074074074074,0.9107142857142857,0.9463917525773196,0.9282103134479271,0.8076923076923077,0.7368421052631579,0.7706422018348624,0.8375,0.32057416267942584,0.46366782006920415
baseline_5class,SC404,1233,4.033228799999051,0.7210056772100568,0.6734071353888803,0.6656165266747949,0.732360097323601,0.6949962854900195,0.6845413119249506,0.6410256410256411,0.8838383838383839,0.7430997876857749,0.3612565445026178,0.41566265060240964,0.3865546218487395,0.96484375,0.7967741935483871,0.872791519434629,0.8863636363636364,0.7358490566037735,0.8041237113402062,0.5915492957746479,0.6428571428571429,0.6161369193154034
baseline_5class,SC405,670,4.390962900004524,0.8507462686567164,0.7399125740132723,0.71596210525916,0.8537313432835821,0.7416605237000956,0.7126867728251683,0.8744588744588745,0.9805825242718447,0.9244851258581236,0.5,0.022727272727272728,0.043478260869565216,0.8894472361809045,0.815668202764977,0.8509615384615384,0.8,0.9481481481481482,0.8677966101694915,0.8205128205128205,0.9411764705882353,0.8767123287671232
n1_first,SC400,1964,5.454753999998502,0.6985743380855397,0.6056373400271505,0.5743093307069727,0.6975560081466395,0.6060247696882969,0.5730629284698088,0.48200312989045385,0.8392370572207084,0.6123260437375746,0.25,0.008547008547008548,0.01652892561983471,0.9,0.7945425361155698,0.8439897698209718,0.8675078864353313,0.5319148936170213,0.6594724220623501,0.6409691629955947,0.8558823529411764,0.7329974811083123
n1_first,SC401,2285,5.193012900002941,0.7606126914660831,0.6559679264580536,0.6112235890474516,0.7575492341356674,0.6535144070768004,0.6055502928587959,0.7085714285714285,0.39365079365079364,0.5061224489795918,0.7021276595744681,0.16417910447761194,0.2661290322580645,0.938207136640557,0.8821603927986906,0.9093209616195698,0.4883720930232558,0.9402985074626866,0.6428571428571429,0.5825426944971537,0.8872832369942196,0.7033218785796106
n1_first,SC402,1023,5.265908400004264,0.8240469208211144,0.7712497787850114,0.7629256648728673,0.8211143695014663,0.7609520991065799,0.7603793607929081,0.8407079646017699,0.753968253968254,0.7949790794979079,0.9545454545454546,0.44680851063829785,0.6086956521739131,0.9097888675623801,0.8697247706422019,0.8893058161350844,0.6944444444444444,0.7894736842105263,0.7389162561576355,0.6497890295358649,0.9447852760736196,0.77
n1_first,SC403,950,4.046134700001858,0.6915789473684211,0.6275449149754462,0.5811177179719355,0.6894736842105263,0.6084774181906172,0.5664571460058438,0.7984496124031008,0.7463768115942029,0.7715355805243446,0.13617021276595745,0.5245901639344263,0.21621621621621623,0.9090909090909091,0.9484536082474226,0.9283551967709385,0.7924528301886793,0.7368421052631579,0.7636363636363637,0.6666666666666666,0.0861244019138756,0.15254237288135594
n1_first,SC404,1233,3.7097590000048513,0.7380373073803731,0.6598263138762498,0.6469769116576876,0.7437145174371452,0.6683552033045581,0.6494833014379449,0.5575757575757576,0.9292929292929293,0.696969696969697,0.43283582089552236,0.1746987951807229,0.24892703862660945,0.9572953736654805,0.867741935483871,0.9103214890016921,0.8837209302325582,0.7169811320754716,0.7916666666666666,0.5541125541125541,0.6530612244897959,0.5995316159250585
n1_first,SC405,670,4.125021499996365,0.8537313432835821,0.7284005336135916,0.6999016939219447,0.8522388059701492,0.733026819385582,0.7021483126917556,0.8626609442060086,0.9757281553398058,0.9157175398633257,0.0,0.0,0.0,0.8866995073891626,0.8294930875576036,0.8571428571428571,0.8050314465408805,0.9481481481481482,0.8707482993197279,0.8266666666666667,0.9117647058823529,0.8671328671328671
transitional_branch,SC400,1964,3.4985999000055017,0.6980651731160896,0.6372779136966378,0.6257485128046094,0.6960285132382892,0.6335275398760458,0.6216141514141327,0.4709784411276949,0.773841961852861,0.5855670103092784,0.32926829268292684,0.23076923076923078,0.271356783919598,0.9271402550091075,0.8170144462279294,0.8686006825938567,0.8585526315789473,0.504835589941973,0.6358099878197321,0.6713615023474179,0.8411764705882353,0.7467362924281984
transitional_branch,SC401,2285,3.5326923000029637,0.7676148796498906,0.6694699226809797,0.6276990671671501,0.7641137855579869,0.6680415785412509,0.6228883244991287,0.7005988023952096,0.37142857142857144,0.4854771784232365,0.6125,0.24378109452736318,0.3487544483985765,0.9539823008849557,0.8821603927986906,0.9166666666666666,0.4845360824742268,0.9353233830845771,0.6383701188455009,0.6038461538461538,0.9075144508670521,0.7251732101616628
transitional_branch,SC402,1023,4.318976200003817,0.8299120234604106,0.7717487819935965,0.7700554944696065,0.844574780058651,0.7847454431943335,0.7876210968292515,0.8804347826086957,0.6428571428571429,0.7431192660550459,0.5806451612903226,0.7659574468085106,0.6605504587155964,0.9140767824497258,0.9174311926605505,0.9157509157509157,0.8734177215189873,0.7263157894736842,0.7931034482758621,0.7845303867403315,0.8711656441717791,0.8255813953488372
transitional_branch,SC403,950,4.360386499996821,0.7094736842105264,0.6414380079226705,0.619808171040874,0.7031578947368421,0.6194218682154193,0.6011956106421894,0.8762886597938144,0.6159420289855072,0.723404255319149,0.14166666666666666,0.5573770491803278,0.22591362126245848,0.9154929577464789,0.9381443298969072,0.9266802443991853,0.75,0.7368421052631579,0.7433628318584071,0.8666666666666667,0.24880382775119617,0.38661710037174724
transitional_branch,SC404,1233,4.09699879999971,0.7226277372262774,0.6894205873253793,0.6827113193093706,0.7356042173560422,0.704671844645917,0.6966960620221684,0.6756756756756757,0.8838383838383839,0.7658643326039387,0.36363636363636365,0.4819277108433735,0.41450777202072536,0.9581673306772909,0.7758064516129032,0.857397504456328,0.9024390243902439,0.6981132075471698,0.7872340425531915,0.6350710900473934,0.6836734693877551,0.6584766584766585
transitional_branch,SC405,670,4.492477899999358,0.8611940298507462,0.7521028682457175,0.736488063089919,0.8492537313432836,0.7485488588283304,0.7320763586708678,0.8810572687224669,0.970873786407767,0.9237875288683602,0.4444444444444444,0.09090909090909091,0.1509433962264151,0.8883248730964467,0.8064516129032258,0.8454106280193237,0.782608695652174,0.9333333333333333,0.8513513513513513,0.8421052631578947,0.9411764705882353,0.8888888888888888
