test_subject,baseline_macro_f1,baseline_N1_f1,best_macro_f1,best_N1_f1,macro_f1_delta,N1_f1_delta
SC400,0.6113687898955565,0.21390374331550802,0.6113687898955565,0.21390374331550802,0.0,0.0
SC401,0.6265010591158822,0.358974358974359,0.6265010591158822,0.358974358974359,0.0,0.0
SC402,0.7972980433559367,0.7156862745098039,0.7972980433559367,0.7156862745098039,0.0,0.0
SC403,0.6254258777699873,0.2074074074074074,0.6254258777699873,0.2074074074074074,0.0,0.0
SC404,0.6845413119249506,0.3865546218487395,0.6845413119249506,0.3865546218487395,0.0,0.0
SC405,0.7126867728251683,0.043478260869565216,0.7126867728251683,0.043478260869565216,0.0,0.0
