subject,stage,precision,recall,f1,support
SC400,N1,0.23376623376623376,0.15384615384615385,0.18556701030927836,117.0
SC400,N2,0.9292364990689013,0.8009630818619583,0.8603448275862069,623.0
SC400,N3,0.8789808917197452,0.5338491295938105,0.6642599277978339,517.0
SC400,REM,0.6744730679156908,0.8470588235294118,0.7509778357235984,340.0
SC400,Wake,0.4696223316912972,0.779291553133515,0.5860655737704918,367.0
SC401,N1,0.6911764705882353,0.23383084577114427,0.34944237918215615,201.0
SC401,N2,0.9450261780104712,0.886252045826514,0.9146959459459459,1222.0
SC401,N3,0.5067024128686327,0.9402985074626866,0.6585365853658537,201.0
SC401,REM,0.5938697318007663,0.8959537572254336,0.7142857142857143,346.0
SC401,Wake,0.7386363636363636,0.4126984126984127,0.5295315682281059,315.0
SC402,N1,0.69,0.7340425531914894,0.711340206185567,94.0
SC402,N2,0.9426877470355731,0.8752293577981651,0.9077069457659372,545.0
SC402,N3,0.7478260869565218,0.9052631578947369,0.819047619047619,95.0
SC402,REM,0.7461928934010152,0.901840490797546,0.8166666666666667,163.0
SC402,Wake,0.8857142857142857,0.7380952380952381,0.8051948051948052,126.0
SC403,N1,0.15865384615384615,0.5409836065573771,0.24535315985130113,61.0
SC403,N2,0.9300411522633745,0.931958762886598,0.9309989701338826,485.0
SC403,N3,0.7966101694915254,0.8245614035087719,0.8103448275862069,57.0
SC403,REM,0.8292682926829268,0.3253588516746411,0.46735395189003437,209.0
SC403,Wake,0.8173913043478261,0.6811594202898551,0.7430830039525692,138.0
SC404,N1,0.3615819209039548,0.3855421686746988,0.37317784256559766,166.0
SC404,N2,0.9613899613899614,0.8032258064516129,0.875219683655536,620.0
SC404,N3,0.9,0.6792452830188679,0.7741935483870968,53.0
SC404,REM,0.5898617511520737,0.6530612244897959,0.6198547215496368,196.0
SC404,Wake,0.6298932384341637,0.8939393939393939,0.7390396659707724,198.0
SC405,N1,0.4,0.045454545454545456,0.08163265306122448,44.0
SC405,N2,0.8994974874371859,0.8248847926267281,0.8605769230769231,217.0
SC405,N3,0.8113207547169812,0.9555555555555556,0.8775510204081632,135.0
SC405,REM,0.7894736842105263,0.8823529411764706,0.8333333333333334,68.0
SC405,Wake,0.8744588744588745,0.9805825242718447,0.9244851258581236,206.0
