n1_multiplier,test_subject,training_time_sec,inference_time_sec,raw_accuracy,raw_balanced_accuracy,raw_macro_f1,smoothed_accuracy,smoothed_balanced_accuracy,smoothed_macro_f1,Wake_precision,Wake_recall,Wake_f1,Wake_support,N1_precision,N1_recall,N1_f1,N1_support,N2_precision,N2_recall,N2_f1,N2_support,N3_precision,N3_recall,N3_f1,N3_support,REM_precision,REM_recall,REM_f1,REM_support
1.0,SC400,2.060010900000634,0.02849150000110967,0.6980651731160896,0.6288516399492895,0.6168009488453033,0.6934826883910387,0.6239286965357252,0.6113687898955565,0.4728171334431631,0.782016348773842,0.5893223819301848,367,0.2857142857142857,0.17094017094017094,0.21390374331550802,117,0.9144981412639405,0.7897271268057785,0.8475452196382429,623,0.860248447204969,0.5357833655705996,0.6603098927294399,517,0.6697892271662763,0.8411764705882353,0.7457627118644068,340
1.0,SC401,2.0195673999987775,0.027263800002401695,0.7676148796498906,0.6740170532256836,0.6343394295069137,0.762363238512035,0.6686138528486132,0.6265010591158822,0.7167630057803468,0.39365079365079364,0.5081967213114754,315,0.6805555555555556,0.24378109452736318,0.358974358974359,201,0.9436619718309859,0.8772504091653028,0.909245122985581,1222,0.4883116883116883,0.9353233830845771,0.6416382252559727,201,0.5953757225433526,0.8930635838150289,0.7144508670520231,346
1.0,SC402,2.4714314000011655,0.017421099997591227,0.8387096774193549,0.8026559361291234,0.7900251957762384,0.8455522971652004,0.797766064709685,0.7972980433559367,0.898876404494382,0.6349206349206349,0.7441860465116279,126,0.6636363636363637,0.776595744680851,0.7156862745098039,94,0.912639405204461,0.9009174311926605,0.9067405355493998,545,0.8390804597701149,0.7684210526315789,0.8021978021978022,95,0.7437185929648241,0.9079754601226994,0.8176795580110497,163
1.0,SC403,2.4165470999942045,0.01669120000588009,0.7252631578947368,0.6517286190095831,0.634521848659193,0.7242105263157895,0.6258982161258385,0.6254258777699873,0.8761904761904762,0.6666666666666666,0.757201646090535,138,0.1339712918660287,0.45901639344262296,0.2074074074074074,61,0.9107142857142857,0.9463917525773196,0.9282103134479271,485,0.8076923076923077,0.7368421052631579,0.7706422018348624,57,0.8375,0.32057416267942584,0.46366782006920415,209
1.0,SC404,2.2762309000027017,0.01955390000512125,0.7210056772100568,0.6734071353888803,0.6656165266747949,0.732360097323601,0.6949962854900195,0.6845413119249506,0.6410256410256411,0.8838383838383839,0.7430997876857749,198,0.3612565445026178,0.41566265060240964,0.3865546218487395,166,0.96484375,0.7967741935483871,0.872791519434629,620,0.8863636363636364,0.7358490566037735,0.8041237113402062,53,0.5915492957746479,0.6428571428571429,0.6161369193154034,196
1.0,SC405,2.4845898000057787,0.01357080000161659,0.8507462686567164,0.7399125740132723,0.71596210525916,0.8537313432835821,0.7416605237000956,0.7126867728251683,0.8744588744588745,0.9805825242718447,0.9244851258581236,206,0.5,0.022727272727272728,0.043478260869565216,44,0.8894472361809045,0.815668202764977,0.8509615384615384,217,0.8,0.9481481481481482,0.8677966101694915,135,0.8205128205128205,0.9411764705882353,0.8767123287671232,68
1.25,SC400,1.871914099996502,0.02434009999706177,0.6883910386965377,0.6162073968066706,0.6026760383217443,0.685336048879837,0.6116175086873248,0.5968295069896168,0.45933014354066987,0.784741144414169,0.579476861167002,367,0.2112676056338028,0.1282051282051282,0.1595744680851064,117,0.9107806691449815,0.7865168539325843,0.8440999138673557,623,0.8525641025641025,0.5145067698259188,0.6417370325693607,517,0.6899038461538461,0.8441176470588235,0.7592592592592593,340
1.25,SC401,1.9726022000031662,0.02827840000099968,0.762800875273523,0.665483980638218,0.6221959772272158,0.7636761487964989,0.6676342017176891,0.6231163719177589,0.7317073170731707,0.38095238095238093,0.5010438413361169,315,0.6438356164383562,0.23383084577114427,0.34306569343065696,201,0.9472759226713533,0.8821603927986906,0.9135593220338983,1222,0.48223350253807107,0.945273631840796,0.6386554621848739,201,0.6007751937984496,0.8959537572254336,0.7192575406032483,346
1.25,SC402,2.3770405999966897,0.016940899993642233,0.844574780058651,0.8088382145305412,0.7948646469041516,0.8455522971652004,0.8003237324570109,0.7956015483867733,0.8791208791208791,0.6349206349206349,0.7373271889400922,126,0.6923076923076923,0.7659574468085106,0.7272727272727273,94,0.9190207156308852,0.8954128440366973,0.9070631970260223,545,0.7789473684210526,0.7789473684210526,0.7789473684210526,95,0.7475247524752475,0.9263803680981595,0.8273972602739726,163
1.25,SC403,2.3635396999961813,0.016393499994592275,0.7021052631578948,0.6414567532370598,0.6082294993809043,0.6915789473684211,0.603826254402413,0.5873387044256219,0.86,0.6231884057971014,0.7226890756302521,138,0.13389121338912133,0.5245901639344263,0.21333333333333335,61,0.9131313131313131,0.931958762886598,0.9224489795918367,485,0.7592592592592593,0.7192982456140351,0.7387387387387387,57,0.7419354838709677,0.22009569377990432,0.33948339483394835,209
1.25,SC404,2.2193020999984583,0.01944519999960903,0.7364152473641524,0.6940754611346587,0.6852408774366241,0.7437145174371452,0.7023315507715502,0.693063167268112,0.654275092936803,0.8888888888888888,0.7537473233404711,198,0.3812154696132597,0.41566265060240964,0.3976945244956772,166,0.9596928982725528,0.8064516129032258,0.8764241893076249,620,0.8837209302325582,0.7169811320754716,0.7916666666666666,53,0.6118721461187214,0.6836734693877551,0.6457831325301204,196
1.25,SC405,2.5194923000017297,0.01340150000032736,0.8537313432835821,0.7437754094700356,0.718347375339962,0.8567164179104477,0.7435038416724458,0.7154196652918817,0.8782608695652174,0.9805825242718447,0.926605504587156,206,0.5,0.022727272727272728,0.043478260869565216,44,0.8905472636815921,0.8248847926267281,0.8564593301435407,217,0.8,0.9481481481481482,0.8677966101694915,135,0.8311688311688312,0.9411764705882353,0.8827586206896552,68
1.5,SC400,1.934778800001368,0.025021300003572833,0.6960285132382892,0.6242188294687632,0.611151235757854,0.6929735234215886,0.6199394255222679,0.6054258891145035,0.4794069192751236,0.7929155313351499,0.5975359342915811,367,0.2236842105263158,0.1452991452991453,0.17616580310880828,117,0.9163568773234201,0.7913322632423756,0.8492678725236865,623,0.859375,0.5319148936170213,0.6571087216248507,517,0.6737588652482269,0.8382352941176471,0.747051114023591,340
1.5,SC401,1.9082443000006606,0.026864400002523325,0.7698030634573304,0.6772699525093624,0.6369155629339085,0.7684901531728665,0.6765816428661225,0.6354378266021937,0.7771084337349398,0.4095238095238095,0.5363825363825364,315,0.6666666666666666,0.24875621890547264,0.36231884057971014,201,0.9454705364995603,0.8797054009819967,0.9114031369224248,1222,0.49476439790575916,0.9402985074626866,0.6483704974271012,201,0.5961904761904762,0.9046242774566474,0.7187141216991964,346
1.5,SC402,2.380664099997375,0.0180469000042649,0.8289345063538612,0.805880274662955,0.7770780328088538,0.8279569892473119,0.8007118277221682,0.7768337505645053,0.8522727272727273,0.5952380952380952,0.7009345794392523,126,0.6521739130434783,0.7978723404255319,0.7177033492822966,94,0.9302788844621513,0.8568807339449541,0.89207258834766,545,0.6782608695652174,0.8210526315789474,0.7428571428571429,95,0.7487684729064039,0.9325153374233128,0.8306010928961749,163
1.5,SC403,2.3856489999961923,0.016424499997810926,0.6915789473684211,0.6285630905308142,0.5965363732882547,0.6852631578947368,0.6073394597575361,0.577004735700743,0.85,0.6159420289855072,0.7142857142857143,138,0.13821138211382114,0.5573770491803278,0.22149837133550487,61,0.9168356997971603,0.931958762886598,0.9243353783231084,485,0.7288135593220338,0.7543859649122807,0.7413793103448276,57,0.7115384615384616,0.17703349282296652,0.2835249042145594,209
1.5,SC404,2.2436492999986513,0.019091499998467043,0.7201946472019465,0.6841776228608175,0.6732694162413215,0.7299270072992701,0.6923348046874027,0.6813687668205081,0.6394052044609665,0.8686868686868687,0.7366167023554604,198,0.36597938144329895,0.42771084337349397,0.39444444444444443,166,0.9629629629629629,0.7967741935483871,0.8720211827007943,620,0.8666666666666667,0.7358490566037735,0.7959183673469388,53,0.5849056603773585,0.6326530612244898,0.6078431372549019,196
1.5,SC405,2.416025400001672,0.013487899996107444,0.8567164179104477,0.7472230055172521,0.7245943886948056,0.8537313432835821,0.7416605237000956,0.7097190293981944,0.8898678414096917,0.9805825242718447,0.9330254041570438,206,0.5,0.022727272727272728,0.043478260869565216,44,0.8894472361809045,0.815668202764977,0.8509615384615384,217,0.8,0.9481481481481482,0.8677966101694915,135,0.7804878048780488,0.9411764705882353,0.8533333333333334,68
2.0,SC400,1.8451253000021097,0.024541999999200925,0.6990835030549898,0.6249285203296181,0.6106566936063778,0.6990835030549898,0.6241650426278814,0.6087458521664276,0.4784688995215311,0.8174386920980926,0.6036217303822937,367,0.3191489361702128,0.1282051282051282,0.18292682926829268,117,0.9197761194029851,0.7913322632423756,0.8507333908541846,623,0.8598130841121495,0.5338491295938105,0.6587112171837709,517,0.6674364896073903,0.85,0.7477360931435963,340
2.0,SC401,1.8192748000001302,0.02679100000386825,0.7684901531728665,0.6779730387738068,0.6368301600427846,0.762363238512035,0.6727706466211579,0.6284505589539846,0.7380952380952381,0.39365079365079364,0.5134575569358178,315,0.6455696202531646,0.2537313432835821,0.36428571428571427,201,0.951828724353256,0.8731587561374795,0.9107981220657277,1222,0.4872448979591837,0.9502487562189055,0.6441821247892074,201,0.5885714285714285,0.8930635838150289,0.7095292766934558,346
2.0,SC402,2.152546999997867,0.016647000004013535,0.8387096774193549,0.7995753833736428,0.7894753554901061,0.844574780058651,0.7918556920325717,0.7967369733098397,0.8817204301075269,0.6507936507936508,0.7488584474885844,126,0.7052631578947368,0.7127659574468085,0.708994708994709,94,0.9092592592592592,0.9009174311926605,0.9050691244239631,545,0.8588235294117647,0.7684210526315789,0.8111111111111111,95,0.719047619047619,0.9263803680981595,0.8096514745308311,163
2.0,SC403,2.171626600000309,0.016199300000153016,0.6957894736842105,0.6445263031560281,0.6062781129542029,0.6842105263157895,0.6038793699548327,0.5790977238073214,0.8317757009345794,0.644927536231884,0.726530612244898,138,0.1322314049586777,0.5245901639344263,0.21122112211221122,61,0.9141104294478528,0.9216494845360824,0.917864476386037,485,0.7368421052631579,0.7368421052631579,0.7368421052631579,57,0.7272727272727273,0.19138755980861244,0.30303030303030304,209
2.0,SC404,2.1284902000043076,0.022211000003153458,0.7096512570965126,0.6814257591128853,0.6699165876261475,0.7201946472019465,0.6979593419892377,0.6840898650213209,0.6436363636363637,0.8939393939393939,0.7484143763213531,198,0.32558139534883723,0.42168674698795183,0.3674540682414698,166,0.9652351738241309,0.7612903225806451,0.8512173128944995,620,0.8888888888888888,0.7547169811320755,0.8163265306122449,53,0.6172248803827751,0.6581632653061225,0.6370370370370371,196
2.0,SC405,2.484775000004447,0.013843399996403605,0.8537313432835821,0.745745712154216,0.7160371293439198,0.8552238805970149,0.7481762809297307,0.718857774104113,0.8973214285714286,0.9757281553398058,0.9348837209302325,206,0.5,0.045454545454545456,0.08333333333333333,44,0.8939393939393939,0.815668202764977,0.8530120481927711,217,0.8,0.9481481481481482,0.8677966101694915,135,0.7738095238095238,0.9558823529411765,0.8552631578947368,68
3.0,SC400,1.7272639000002528,0.02489120000245748,0.6924643584521385,0.6103061761137322,0.5922212367274858,0.6939918533604889,0.6106076294439255,0.5897440985339315,0.47665056360708535,0.8065395095367848,0.5991902834008097,367,0.16666666666666666,0.06837606837606838,0.09696969696969697,117,0.9337121212121212,0.7913322632423756,0.8566463944396178,623,0.8734177215189873,0.5338491295938105,0.6626650660264105,517,0.6430155210643016,0.8529411764705882,0.7332490518331226,340
3.0,SC401,1.6764247000028263,0.02636499999789521,0.7654266958424507,0.6771874801667176,0.6351966438102199,0.7592997811816192,0.6723994565750366,0.6282766067714984,0.7454545454545455,0.3904761904761905,0.5125,315,0.6162790697674418,0.263681592039801,0.3693379790940767,201,0.9463806970509383,0.8666121112929623,0.9047415634344297,1222,0.48717948717948717,0.945273631840796,0.6429780033840947,201,0.5904761904761905,0.8959537572254336,0.711825487944891,346
3.0,SC402,2.3197005999973044,0.018694299993512686,0.8318670576735093,0.7930574976749147,0.775400752493886,0.8260019550342131,0.7686904083777082,0.7624369318873601,0.8658536585365854,0.5634920634920635,0.6826923076923077,126,0.6559139784946236,0.648936170212766,0.6524064171122995,94,0.9217557251908397,0.8862385321100917,0.9036482694106641,545,0.7524752475247525,0.8,0.7755102040816326,95,0.6905829596412556,0.9447852760736196,0.7979274611398963,163
3.0,SC403,2.134061600001587,0.018953099999635015,0.6768421052631579,0.6214953918921194,0.5817249399150688,0.6578947368421053,0.5799204460914176,0.5438600263618282,0.845360824742268,0.5942028985507246,0.6978723404255319,138,0.1213235294117647,0.5409836065573771,0.1981981981981982,61,0.9175257731958762,0.9175257731958762,0.9175257731958762,485,0.7,0.7368421052631579,0.717948717948718,57,0.6388888888888888,0.11004784688995216,0.18775510204081633,209
3.0,SC404,2.111409900004219,0.022037299997464288,0.7055961070559611,0.6719015335812514,0.6620537790521317,0.7193836171938361,0.6968602991562755,0.6829932964787633,0.6379928315412187,0.898989898989899,0.7463312368972747,198,0.3411214953271028,0.4397590361445783,0.38421052631578945,166,0.9607438016528925,0.75,0.842391304347826,620,0.8837209302325582,0.7169811320754716,0.7916666666666666,53,0.6244131455399061,0.6785714285714286,0.6503667481662592,196
3.0,SC405,2.0434662000043318,0.015100699994945899,0.8552238805970149,0.7462319528563702,0.7118867217862028,0.8537313432835821,0.7436800411845087,0.7124068327726187,0.8859649122807017,0.9805825242718447,0.9308755760368663,206,0.5,0.022727272727272728,0.043478260869565216,44,0.8934010152284264,0.8110599078341014,0.8502415458937198,217,0.7852760736196319,0.9481481481481482,0.8590604026845637,135,0.8125,0.9558823529411765,0.8783783783783784,68
