architecture,mean_subject_macro_f1,std_subject_macro_f1,min_subject_macro_f1,max_subject_macro_f1,mean_balanced_accuracy,pooled_accuracy,pooled_balanced_accuracy,pooled_macro_f1,mean_architecture_time_sec,Wake_precision,Wake_recall,Wake_f1,N1_precision,N1_recall,N1_f1,N2_precision,N2_recall,N2_f1,N3_precision,N3_recall,N3_f1,REM_precision,REM_recall,REM_f1,delta_mean_subject_macro_f1,delta_pooled_macro_f1,delta_N1_f1,rank
transitional_branch,0.6770152673462898,0.06757753189704575,0.6011956106421894,0.7876210968292515,0.6931595222168828,0.7533538461538462,0.6765018553330056,0.6686033018851231,4.050021933334695,0.6519031141868512,0.6977777777777778,0.6740608228980322,0.352317880794702,0.38945827232796487,0.36995827538247567,0.9345412039742841,0.8615301724137931,0.896551724137931,0.7026239067055393,0.6833648393194707,0.6928605654048874,0.6729986431478969,0.7503782148260212,0.709585121602289,0.000711624865042948,-0.0001306721727438731,0.010945560348818217,1
baseline_5class,0.6763036424812469,0.0649571855746991,0.6113687898955565,0.7972980433559367,0.6921439399016628,0.7547076923076923,0.6766017704268792,0.6687339740578669,3.791824350000146,0.6495263870094723,0.7111111111111111,0.6789250353606789,0.3669724770642202,0.3513909224011713,0.35901271503365745,0.9293843011380216,0.8580280172413793,0.8922818321893823,0.7114285714285714,0.7060491493383743,0.7087286527514232,0.6596306068601583,0.75642965204236,0.704721634954193,0.0,0.0,0.0,2
n1_first,0.6428468903761763,0.07008425026753984,0.5664571460058438,0.7603793607929081,0.6717251194587391,0.7488,0.6506925995997144,0.6408491266867676,4.632431750001463,0.6269302038295244,0.7518518518518519,0.6837318962613674,0.345088161209068,0.2005856515373353,0.2537037037037037,0.9238040676024062,0.8688038793103449,0.8954602249062891,0.7000937207122774,0.7060491493383743,0.7030588235294117,0.6189555125725339,0.7261724659606656,0.6682909850330665,-0.0334567521050706,-0.02788484737109931,-0.10530901132995374,3
