target_stage,comparison_stage,feature,n1_count,comparison_count,n1_mean,comparison_mean,cohens_d,abs_cohens_d,symmetric_auc,overlap_coefficient,discriminability_score,pair_rank
N1,Wake,prev2_delta,683,1350,0.7029421526609404,0.783521135334305,-0.46715955074483917,0.46715955074483917,0.6767149286915026,0.6174090342172334,0.3233070544597818,24
N1,Wake,prev2_theta,683,1350,0.13254381429060577,0.09630161525463835,0.47139054953520076,0.47139054953520076,0.6795325633100158,0.6582191855105471,0.31859730863818647,26
N1,Wake,prev2_alpha,683,1350,0.06370437473753501,0.05590742561534539,0.0945760723966005,0.0945760723966005,0.6745599479420855,0.6126348896480668,0.26621938087196223,34
N1,Wake,prev2_sigma,683,1350,0.02413932257373292,0.012675949827217599,0.6608505311419036,0.6608505311419036,0.7364557236592375,0.6244628816224717,0.4106907270060287,12
N1,Wake,prev2_beta,683,1350,0.051497973141778716,0.03212628363639629,0.49924737338702896,0.49924737338702896,0.6612927715416735,0.7461536793015563,0.28694914168941665,30
N1,Wake,prev2_rms,683,1350,1.1947326728687553e-05,2.249011853390183e-05,-0.989807458327697,0.989807458327697,0.790401822027005,0.5640236429694702,0.5260682121822655,7
N1,Wake,prev2_std,683,1350,1.1921975938044888e-05,2.2469032410383708e-05,-0.9896266477227437,0.9896266477227437,0.790260831842091,0.5633002548668726,0.526044778027128,8
N1,Wake,prev2_peak_to_peak,683,1350,9.709424055688591e-05,0.00016728609777050344,-1.0143249505396104,1.0143249505396104,0.7816935090287945,0.5816159644270917,0.5175190587243178,9
N1,Wake,prev2_zero_crossing_rate,683,1350,0.1308565153733528,0.12197999999999996,0.16412596689308145,0.16412596689308145,0.5624743777452416,0.7991160999945773,0.12727005278028833,42
N1,Wake,prev2_spectral_entropy,683,1350,4.42912327700003,3.9881295934765784,0.5213073838464896,0.5213073838464896,0.6592288921425085,0.6912054660810151,0.29918390650327886,28
N1,Wake,prev2_dominant_frequency,683,1350,0.7562225475841874,0.8122222222222222,-0.04335837227974013,0.04335837227974013,0.5073222710265171,0.963315438425248,0.021162939183428472,45
N1,Wake,prev2_sef90,683,1350,9.037335285505124,6.211111111111111,0.6047316648297143,0.6047316648297143,0.6778466460604089,0.642866438913291,0.3399831080022078,21
N1,Wake,prev2_delta_theta_ratio,683,1350,9.692593940091598,14.845487001599635,-0.392818833661761,0.392818833661761,0.6733018816766987,0.6692316034922184,0.29837838602751915,29
N1,Wake,prev2_alpha_theta_ratio,683,1350,0.5013917012787408,0.49643238913286325,0.009010580460550395,0.009010580460550395,0.6177040290656689,0.6758407895450356,0.18388745822574437,38
N1,Wake,prev2_sigma_theta_ratio,683,1350,0.21170314287130781,0.13780095388859137,0.4936511225597473,0.4936511225597473,0.6615573992733582,0.7714375576161814,0.28131755613408405,32
N1,Wake,prev1_delta,683,1350,0.6996439727412131,0.7817221546834794,-0.4700624378089764,0.4700624378089764,0.6866167778320048,0.5605975814760589,0.3450066272081395,20
N1,Wake,prev1_theta,683,1350,0.13501198268304188,0.094435264575748,0.5218851771770222,0.5218851771770222,0.6988037525079984,0.6218307033241147,0.35272038841972886,19
N1,Wake,prev1_alpha,683,1350,0.06275833311991484,0.0584029251055967,0.052447351631958135,0.052447351631958135,0.685237243099615,0.5524147280516241,0.2826214002340839,31
N1,Wake,prev1_sigma,683,1350,0.022110333523690545,0.01224399554229421,0.6764138791495452,0.6764138791495452,0.7445821810097066,0.6004349004934657,0.42595728278344525,11
N1,Wake,prev1_beta,683,1350,0.05453917017028089,0.03408785641652583,0.5122707939767471,0.5122707939767471,0.6846526761021636,0.6977853695569655,0.3219362212872826,25
N1,Wake,prev1_rms,683,1350,1.130990477654145e-05,2.2800598445012887e-05,-1.0961981980476856,1.0961981980476856,0.8182636516457893,0.5113844151618676,0.5804164983205686,5
N1,Wake,prev1_std,683,1350,1.1285216251674744e-05,2.27795091597681e-05,-1.0959006747410813,1.0959006747410813,0.8181280841602949,0.5099376389566727,0.5805256575801226,4
N1,Wake,prev1_peak_to_peak,683,1350,9.193555795106162e-05,0.0001700005831863212,-1.1422936356869065,1.1422936356869065,0.8090819369882327,0.5169860636624912,0.5770287696087704,6
N1,Wake,prev1_zero_crossing_rate,683,1350,0.13401464128843335,0.12308790123456786,0.20229820760594988,0.20229820760594988,0.5747182907651428,0.768577625942194,0.15134749671759648,40
N1,Wake,prev1_spectral_entropy,683,1350,4.455931108922596,3.9617955594127947,0.5800151581363091,0.5800151581363091,0.6736445962800282,0.6764253565424869,0.3253617986919771,23
N1,Wake,prev1_dominant_frequency,683,1350,0.7163250366032211,0.8322222222222222,-0.08884697183356004,0.08884697183356004,0.5095190065614663,0.9442297055474215,0.034000111227016024,44
N1,Wake,prev1_sef90,683,1350,9.206076134699854,6.278518518518519,0.6124326391376644,0.6124326391376644,0.6894815899354699,0.5972355078358007,0.36189938423895945,17
N1,Wake,prev1_delta_theta_ratio,683,1350,9.366453000819291,15.347384695457343,-0.4459666531171527,0.4459666531171527,0.688482186432406,0.6412049238110731,0.3271361996377643,22
N1,Wake,prev1_alpha_theta_ratio,683,1350,0.4988285655050842,0.5225685034121329,-0.0427286518898337,0.0427286518898337,0.6121208177430726,0.6552909278238707,0.18747192996177353,37
N1,Wake,prev1_sigma_theta_ratio,683,1350,0.19191857826081998,0.14003773619595408,0.38753465519200037,0.38753465519200037,0.6524060517325524,0.7746998535871157,0.2555962792939293,35
N1,Wake,current_delta,683,1350,0.6991658100918544,0.7747018551676915,-0.4323182725154655,0.4323182725154655,0.6925004067024565,0.4881492326880321,0.3597183010421699,18
N1,Wake,current_theta,683,1350,0.14083593555680834,0.09593921379724721,0.574177277740167,0.574177277740167,0.7302792690201183,0.5522238490320481,0.40596109087473375,13
N1,Wake,current_alpha,683,1350,0.059295535243117696,0.061665415984483045,-0.028553149585139135,0.028553149585139135,0.6765121197332032,0.5152551380077002,0.27774406456943407,33
N1,Wake,current_sigma,683,1350,0.020610955588183228,0.01186068173098241,0.7646588883815928,0.7646588883815928,0.7522368635106554,0.5835193319234315,0.450231830383208,10
N1,Wake,current_beta,683,1350,0.05373006153657762,0.036337240531927766,0.4355472229854438,0.4355472229854438,0.6857231169676266,0.6836527303291579,0.31432465434961154,27
N1,Wake,current_rms,683,1350,1.0293088306603406e-05,2.274888357133192e-05,-1.1986446932905157,1.1986446932905157,0.8482641939157313,0.43828208882381653,0.6404044801445453,1
N1,Wake,current_std,683,1350,1.0266623593595498e-05,2.272781598544177e-05,-1.198434719145205,1.198434719145205,0.8481166964915134,0.43829944146195976,0.6402220160709022,2
N1,Wake,current_peak_to_peak,683,1350,8.411701124642787e-05,0.00016887781938222508,-1.2579770459243267,1.2579770459243267,0.8352887587441028,0.4833924407570088,0.6273068274813501,3
N1,Wake,current_zero_crossing_rate,683,1350,0.13391898487066858,0.1252533333333333,0.16150833617654312,0.16150833617654312,0.564858196410173,0.7097055474215064,0.1471433373523532,41
N1,Wake,current_spectral_entropy,683,1350,4.5440832054102405,3.9609522780755846,0.6935387544431093,0.6935387544431093,0.7010379046689442,0.6003947725177594,0.38498976333185875,14
N1,Wake,current_dominant_frequency,683,1350,0.6654465592972182,0.8596296296296296,-0.1481637707693239,0.1481637707693239,0.5109001681036821,0.9353581692966758,0.046053099859745525,43
N1,Wake,current_sef90,683,1350,9.166910688140556,6.460925925925926,0.562061855783855,0.562061855783855,0.6940475028469173,0.5445095168374817,0.3694548778469992,16
