strategy,mean_subject_macro_f1,std_subject_macro_f1,min_subject_macro_f1,max_subject_macro_f1,mean_balanced_accuracy,pooled_accuracy,pooled_balanced_accuracy,pooled_macro_f1,Wake_f1,N1_f1,N2_f1,N3_f1,REM_f1,delta_mean_subject_macro_f1,delta_pooled_macro_f1,delta_N1_f1,rank
nested_viterbi,0.6820440559274398,0.06795267926158668,0.6140097821946158,0.8022235902537211,0.6972458821140712,0.7676307692307692,0.6782218626373815,0.6728988708566794,0.706599713055954,0.32539030402629415,0.90144727773949,0.7185398655139289,0.7125171939477304,0.005833046807172559,0.0039066221906844945,-0.030428821251689553,1
aba_smoothing,0.6763036424812469,0.0649571855746991,0.6113687898955565,0.7972980433559367,0.6921439399016628,0.7547076923076923,0.6766017704268792,0.6687339740578669,0.6789250353606789,0.35901271503365745,0.8922818321893823,0.7087286527514232,0.704721634954193,9.26333609796437e-05,-0.0002582746081279952,0.0031935897556737425,2
baseline_argmax,0.6762110091202672,0.06009275098799718,0.6168009488453033,0.7900251957762384,0.6950954929526386,0.7545846153846154,0.6778998238656819,0.6689922486659949,0.6755524377411435,0.3558191252779837,0.8951817413355875,0.723062381852552,0.6953455571227081,0.0,0.0,0.0,3
