outer_test_subject,top_k,transition_weight,n1_emission_boost,mean_macro_f1,mean_n1_f1,mean_min_class_f1,mean_balanced_accuracy,std_macro_f1,selected
SC400,10,0.75,1.35,0.6651826442604056,0.3007863639086438,0.2997520558021207,0.6850192138269112,0.09540936414422559,False
SC400,15,0.25,1.2,0.6651048092693166,0.31444432229573505,0.3142815966410185,0.6890624671093191,0.08225129054883328,False
SC400,15,0.75,1.2,0.6651017173400969,0.3042902736113485,0.3042902736113485,0.6803245043886582,0.0949393089366792,False
SC400,0,0.75,1.5,0.664945346809334,0.3199934793028119,0.31421914592569383,0.6840038882479623,0.09984228272003326,False
SC400,0,0.75,1.2,0.6649223040825499,0.30262581181177284,0.30262581181177284,0.6829126721515909,0.09248707327170683,False
SC400,5,0.5,1.5,0.6645112231335237,0.34305557646328283,0.33094409748912657,0.6854016592402601,0.09135729385566015,False
SC400,20,1.0,1.1,0.6641414940664181,0.2717969923301319,0.2717969923301319,0.6790907799972121,0.08606298887968948,False
SC400,10,1.0,1.2,0.6639668886178338,0.287253114071578,0.287253114071578,0.6802747412308224,0.09197623445454993,False
SC400,10,0.75,1.0,0.6637482358172925,0.2878092817010593,0.2878092817010593,0.6816294196505839,0.09221810322973507,False
SC400,5,1.0,1.1,0.6637412627690766,0.28840430666990213,0.28840430666990213,0.6789277389649333,0.08820528215377692,False
SC400,10,1.0,1.35,0.6635253126878389,0.2901609755826278,0.28522008399112203,0.6818991963511423,0.09521105021587879,False
SC400,10,0.5,1.5,0.6634810344594028,0.33831296438304814,0.32232411219477397,0.6838533918937677,0.09553134395540895,False
SC400,5,1.0,1.0,0.6632824536921453,0.2661637545885181,0.2661637545885181,0.6785804798149958,0.08540956885914147,False
SC400,0,1.0,1.5,0.6632449270183451,0.29619236061440063,0.28990064408734306,0.6827616178565379,0.09193834710055548,False
SC400,5,0.75,1.35,0.6630245481921735,0.30942571415886483,0.3016772851461904,0.6836543917976062,0.0990690519226959,False
SC400,5,1.0,1.5,0.6628590050495965,0.30720414865039164,0.2995854549776238,0.6811203805831165,0.0958935948563792,False
SC400,5,0.75,1.1,0.6626305390511165,0.30451374849907686,0.30451374849907686,0.6800641589419523,0.09398999352841458,False
SC400,15,0.75,1.35,0.6624355381052294,0.3005921102573207,0.3005921102573207,0.6789267647866507,0.09372002419135086,False
SC400,15,1.0,1.2,0.662325283282991,0.283571904766168,0.283571904766168,0.6764373455699451,0.08655418806276234,False
SC400,10,1.0,1.75,0.6618293258516665,0.32842264920908265,0.2892069629345728,0.681908019303845,0.09959519794323328,False
SC400,20,0.75,1.1,0.661446002359374,0.2917246176394598,0.2917246176394598,0.6795436445079248,0.0930627093407906,False
SC400,20,0.75,1.0,0.6614381565133585,0.26323188704561645,0.26323188704561645,0.6784727217021385,0.08763684470173028,False
SC400,15,0.5,1.0,0.6613622261935754,0.2746606938459659,0.2746606938459659,0.6806839508656413,0.08864301751985752,False
SC400,5,0.75,1.0,0.6613341627710076,0.28558415936650156,0.28558415936650156,0.6782736349190179,0.09203728216414535,False
