test_subject,accuracy,balanced_accuracy,macro_f1,Wake_f1,N1_f1,N2_f1,N3_f1,REM_f1
SC400,0.7133401221995926,0.6465154023420968,0.6354162988242464,0.6,0.2583732057416268,0.8714524207011686,0.672289156626506,0.7749667110519307
SC401,0.7759299781181619,0.6796671852129038,0.6424889470433934,0.538135593220339,0.3701067615658363,0.9168765743073047,0.6654867256637168,0.7218390804597701
SC402,0.8494623655913979,0.7965947910351943,0.7955159604235891,0.7246376811594203,0.7081339712918661,0.9100917431192661,0.7783783783783784,0.856338028169014
SC403,0.7210526315789474,0.6412880339226062,0.6225710349140461,0.8065843621399177,0.23684210526315788,0.9365558912386707,0.7850467289719626,0.34782608695652173
SC404,0.7510137875101379,0.7212761638480618,0.7133176625381499,0.7660550458715596,0.4307692307692308,0.875219683655536,0.8163265306122449,0.6782178217821783
SC405,0.8611940298507462,0.7535164097495299,0.733553835833787,0.9330254041570438,0.125,0.8591885441527446,0.8677966101694915,0.8827586206896552
